Category,level_1,Rank,Player,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Top Speed (km/h),High Speed Running,Sprints,Total Distance (m)
Attacking,14,13,Breel Embolo,,,,,,,,,,,2,5,10,20,8,2,2,2.58,0.78x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,15,13,Dani Olmo,,,,,,,,,,,2,2,13,0,7,6,2,1.16,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,16,13,Marc Cucurella,,,,,,,,,,,2,3,5,0,3,2,1,0.35,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,17,13,Viktor Gyokeres,,,,,,,,,,,2,6,12,8,9,3,0,1.39,0.72x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,18,13,Nicolas Raskin,,,,,,,,,,,2,1,2,0,2,0,1,0.13,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,19,13,Patrick Berg,,,,,,,,,,,2,0,3,0,0,3,0,0.29,0x,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,20,13,Joshua Kimmich,,,,,,,,,,,2,1,5,0,1,4,0,0.15,0x,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,21,13,Hans Vanaken,,,,,,,,,,,2,1,5,20,4,1,0,0.64,1.56x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,22,13,Leandro Trossard,,,,,,,,,,,2,4,17,12,10,7,0,1.67,1.2x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,23,13,Deniz Undav,,,,,,,,,,,2,4,6,50,5,1,0,1.43,2.1x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,24,13,Crysencio Summerville,,,,,,,,,,,2,2,2,100,1,1,0,0.16,12.33x,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,25,13,Ryan Gravenberch,,,,,,,,,,,2,0,5,0,2,3,0,0.25,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,26,13,Ousmane Dembele,,,,,,,,,,,2,10,20,30,13,7,1,2.1,2.86x,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,27,13,Denzel Dumfries,,,,,,,,,,,2,2,5,0,4,1,2,0.44,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,28,13,Declan Rice,,,,,,,,,,,2,3,6,17,3,3,1,0.31,3.23x,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,29,13,Houssem Aouar,,,,,,,,,,,2,1,3,0,1,2,0,0.24,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,30,13,Julio Enciso,,,,,,,,,,,2,1,8,13,6,2,1,0.74,1.36x,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,31,13,Nathan Saliba,,,,,,,,,,,2,1,3,33,1,2,1,0.3,3.36x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,32,13,Achraf Hakimi,,,,,,,,,,,2,4,14,7,6,8,0,0.96,1.04x,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,33,13,Hannibal Mejbri,,,,,,,,,,,2,1,3,0,0,3,0,0.06,0x,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,34,13,Mohamed Salah,,,,,,,,,,,2,4,9,11,7,2,1,0.95,1.05x,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,35,13,Iliman Ndiaye,,,,,,,,,,,2,2,3,33,2,1,0,0.21,4.76x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,36,37,Mohamed Hany,,,,,,,,,,,1,0,4,0,0,4,0,0.09,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,37,37,Mostafa Zico,,,,,,,,,,,1,3,8,25,7,1,2,1.1,1.82x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,38,37,Wilfried Singo,,,,,,,,,,,1,0,2,0,2,0,0,0.14,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,39,37,Sadio Mane,,,,,,,,,,,1,3,6,0,4,2,0,0.58,0x,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,40,37,Ernest Nuamah,,,,,,,,,,,1,0,0,0,0,0,0,0,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,41,37,Chadi Riad,,,,,,,,,,,1,0,1,0,1,0,1,0.12,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,42,37,Promise David,,,,,,,,,,,1,3,5,20,3,2,1,0.75,1.34x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,43,37,Moussa Niakhate,,,,,,,,,,,1,0,1,0,1,0,1,0.06,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,44,37,Jean Kevin Duverne,,,,,,,,,,,1,0,1,0,1,0,0,0.03,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,45,37,Nicolas Jackson,,,,,,,,,,,1,3,7,0,6,1,2,0.56,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
